CAR;PV;nbki;ind_noNbki;equi;ind_noEqui;def90_365
новый;0.2092;598;0;457;0;0
новый;0.1;532;0;554;0;0
новый;0.1503;710;0;731;0;0
б/у;0.1316;726;0;0;1;0
новый;0.2;608;0;535;0;0
новый;0.1586;623;0;520;0;0
б/у;0.16;0;1;0;1;0
новый;0.408;0;1;0;1;0
новый;0.4724;602;0;0;1;0
новый;0.15;646;0;642;0;0
новый;0.1709;702;0;629;0;0
б/у;0.1516;712;0;638;0;0
б/у;0;705;0;535;0;0
новый;0.4873;0;1;0;1;0
новый;0.1002;608;0;753;0;0
новый;0.6651;0;1;0;1;0
новый;0.4491;0;1;0;1;0
новый;0.1;707;0;611;0;0
новый;0.2001;625;0;0;1;0
новый;0.3014;0;1;606;0;0
новый;0;735;0;729;0;0
новый;0.1126;575;0;463;0;0
новый;0.3483;732;0;614;0;0
новый;0.2609;576;0;521;0;0
новый;0.15;638;0;496;0;0
новый;0.7085;752;0;708;0;0
новый;0.3571;0;1;642;0;0
новый;0.3001;691;0;450;0;0
б/у;0.1667;0;1;705;0;0
новый;0.3002;714;0;648;0;0
новый;0.3;611;0;558;0;0
новый;0.4104;725;0;673;0;0
новый;0.4;675;0;622;0;0
б/у;0.1667;598;0;598;0;1
б/у;0.2128;645;0;551;0;0
б/у;0.6;643;0;508;0;0
б/у;0.4415;632;0;590;0;0
новый;0.3787;633;0;587;0;0
новый;0.1293;687;0;739;0;0
новый;0.5039;652;0;627;0;0
новый;0.314;707;0;654;0;0
новый;0.3342;753;0;648;0;0
новый;0.4495;752;0;700;0;0
новый;0.1501;0;1;0;1;0
новый;0.1;583;0;561;0;1
новый;0.1572;686;0;589;0;0
новый;0.1803;631;0;546;0;0
новый;0.1508;0;1;0;1;0
б/у;0.4688;629;0;625;0;0
новый;0;0;1;669;0;0
новый;0.5495;556;0;636;0;0
новый;0.1004;790;0;730;0;0
новый;0.1522;0;1;0;1;0
б/у;0.5616;689;0;692;0;0
новый;0.1501;654;0;523;0;0
новый;0.1516;680;0;554;0;0
новый;0.102;552;0;482;0;0
новый;0.5;640;0;507;0;0
б/у;0.4583;526;0;434;0;0
новый;0.3;717;0;712;0;0
б/у;0.1615;597;0;697;0;0
новый;0.1002;691;0;0;1;0
новый;0.1015;629;0;578;0;0
новый;0.1537;685;0;584;0;0
новый;0.4794;0;1;691;0;0
новый;0.7716;579;0;0;1;0
новый;0.4143;656;0;0;1;0
новый;0.1001;592;0;430;0;0
новый;0.1008;0;1;0;1;0
новый;0.4311;780;0;576;0;0
б/у;0.3;563;0;541;0;0
новый;0.118;691;0;439;0;1
новый;0.1445;727;0;700;0;0
новый;0.151;741;0;678;0;0
б/у;0.3125;0;1;679;0;0
новый;0.3062;755;0;705;0;0
б/у;0.5378;696;0;485;0;0
новый;0.3589;690;0;0;1;0
новый;0.164;0;1;657;0;0
новый;0.3013;486;0;0;1;0
новый;0.7663;655;0;674;0;0
б/у;0;641;0;614;0;1
новый;0.1004;749;0;683;0;0
новый;0.1094;625;0;394;0;0
новый;0.1028;691;0;490;0;0
новый;0.5428;750;0;756;0;0
новый;0.4557;523;0;0;1;0
новый;0;732;0;647;0;0
б/у;0.15;619;0;498;0;1
б/у;0.1506;0;1;0;1;1
новый;0.6255;656;0;729;0;0
новый;0.2571;0;1;0;1;0
новый;0.5563;730;0;624;0;0
б/у;0.5531;687;0;0;1;0
новый;0.1025;722;0;600;0;0
новый;0.2;713;0;558;0;0
новый;0.4902;0;1;731;0;0
б/у;0.3341;684;0;480;0;0
новый;0.1508;675;0;655;0;0
новый;0.1979;778;0;638;0;0
новый;0.5354;640;0;0;1;0
б/у;0.1653;554;0;337;0;0
новый;0.4043;753;0;0;1;0
б/у;0.1562;705;0;469;0;0
новый;0.1035;0;1;639;0;0
новый;0.5685;732;0;634;0;0
б/у;0.2409;0;1;0;1;0
новый;0.6446;552;0;616;0;0
новый;0.1;639;0;556;0;0
новый;0.4702;760;0;484;0;0
новый;0.1003;584;0;771;0;0
б/у;0.1875;522;0;362;0;0
новый;0.2014;706;0;533;0;0
новый;0.2112;611;0;544;0;0
новый;0.1504;0;1;0;1;0
б/у;0.5;612;0;410;0;0
новый;0.1;0;1;0;1;0
б/у;0.2347;645;0;488;0;1
новый;0.1517;738;0;646;0;0
новый;0.3286;552;0;416;0;0
новый;0.7732;699;0;679;0;0
новый;0.3;568;0;548;0;0
новый;0.2941;729;0;650;0;0
новый;0.2048;671;0;637;0;0
новый;0.1077;661;0;408;0;0
новый;0.3578;668;0;0;1;0
новый;0;0;1;0;1;0
новый;0.4001;733;0;735;0;0
новый;0.5234;625;0;0;1;0
новый;0.1;635;0;392;0;0
новый;0.103;577;0;406;0;0
новый;0.1011;0;1;573;0;0
новый;0.1;437;0;0;1;0
новый;0.3835;763;0;633;0;0
б/у;0.1506;685;0;663;0;0
новый;0.6276;763;0;641;0;0
б/у;0.1538;0;1;518;0;0
новый;0.4195;659;0;627;0;0
новый;0.8182;718;0;563;0;0
новый;0.1021;741;0;725;0;0
новый;0.1;630;0;537;0;0
новый;0.117;628;0;565;0;0
новый;0.4016;655;0;531;0;0
б/у;0.15;0;1;514;0;0
новый;0.2344;0;1;464;0;0
новый;0.1016;0;1;0;1;0
новый;0;520;0;538;0;0
б/у;0.125;631;0;521;0;0
новый;0.3405;0;1;0;1;0
новый;0.1342;593;0;559;0;0
б/у;0.2201;621;0;0;1;0
новый;0.1742;780;0;0;1;0
б/у;0.2;727;0;705;0;0
новый;0.1263;701;0;579;0;0
новый;0.2039;561;0;432;0;0
новый;0.1695;601;0;0;1;0
новый;0.3874;0;1;0;1;0
новый;0.1006;0;1;734;0;0
б/у;0.4545;0;1;603;0;0
новый;0.439;657;0;514;0;0
новый;0.1505;662;0;587;0;0
новый;0.3932;637;0;506;0;0
новый;0.4156;759;0;0;1;0
новый;0.4651;754;0;0;1;0
новый;0.1502;771;0;691;0;0
новый;0.1781;553;0;370;0;0
б/у;0.1515;517;0;462;0;1
б/у;0.3077;570;0;490;0;0
новый;0.1002;709;0;607;0;0
новый;0.1007;756;0;260;0;1
новый;0.5128;713;0;639;0;0
новый;0.1863;0;1;0;1;0
новый;0.2008;669;0;565;0;0
новый;0.4226;0;1;587;0;0
новый;0.4167;637;0;582;0;0
новый;0.5659;0;1;700;0;0
новый;0;0;1;0;1;0
б/у;0.3226;654;0;584;0;0
новый;0.1008;653;0;0;1;0
б/у;0.6154;0;1;489;0;0
б/у;0;674;0;0;1;1
новый;0.1176;0;1;0;1;0
новый;0.2364;714;0;644;0;0
новый;0.1028;0;1;545;0;1
б/у;0.4;705;0;560;0;0
б/у;0;0;1;541;0;0
новый;0.2286;700;0;786;0;0
новый;0.1179;0;1;716;0;0
новый;0.332;0;1;0;1;0
б/у;0.2571;619;0;631;0;0
новый;0.1;0;1;634;0;0
новый;0.2708;785;0;402;0;0
новый;0.1766;593;0;424;0;0
б/у;0.3571;638;0;626;0;0
новый;0.2326;607;0;452;0;0
новый;0;0;1;661;0;0
б/у;0.2;551;0;487;0;0
б/у;0.4667;599;0;499;0;0
б/у;0.2586;0;1;478;0;1
б/у;0.1646;595;0;0;1;0
б/у;0.225;678;0;522;0;0
новый;0.2;630;0;378;0;0
новый;0.3616;546;0;581;0;0
новый;0.4373;760;0;654;0;0
новый;0.1509;572;0;0;1;0
б/у;0.1266;640;0;762;0;0
новый;0.1;676;0;614;0;0
новый;0;622;0;490;0;1
новый;0.15;759;0;730;0;0
новый;0.3547;621;0;0;1;0
новый;0.1;743;0;665;0;0
новый;0.401;0;1;0;1;0
новый;0.5583;0;1;0;1;0
новый;0.2519;0;1;504;0;0
новый;0.3675;0;1;666;0;0
новый;0;482;0;382;0;1
б/у;0.176;0;1;362;0;0
новый;0.4;588;0;405;0;1
новый;0.1022;594;0;0;1;0
новый;0.3945;695;0;632;0;0
новый;0.1468;0;1;508;0;0
б/у;0.6676;0;1;0;1;0
новый;0.1669;614;0;574;0;0
новый;0.3104;0;1;0;1;0
б/у;0;572;0;500;0;0
новый;0.5658;703;0;621;0;0
новый;0.5634;608;0;0;1;0
б/у;0.1923;664;0;489;0;1
новый;0.7798;634;0;0;1;0
б/у;0.2;0;1;0;1;0
новый;0;709;0;723;0;0
новый;0.5682;722;0;592;0;0
новый;0.1508;652;0;518;0;0
б/у;0.15;0;1;0;1;0
новый;0.3178;0;1;711;0;0
новый;0.1;0;1;499;0;1
новый;0.1002;657;0;457;0;1
новый;0.4712;576;0;652;0;0
новый;0.1506;633;0;531;0;0
новый;0.6839;741;0;651;0;0
б/у;0.3;702;0;598;0;0
б/у;0;713;0;583;0;0
новый;0.2;718;0;531;0;0
новый;0.271;596;0;666;0;0
новый;0.5;680;0;586;0;0
б/у;0.2105;629;0;546;0;0
новый;0.219;691;0;0;1;0
новый;0.1803;774;0;678;0;0
новый;0.5682;638;0;0;1;0
новый;0.4225;0;1;577;0;0
новый;0.123;647;0;375;0;0
новый;0.2749;762;0;614;0;0
б/у;0.1786;553;0;450;0;0
новый;0.2858;724;0;0;1;1
новый;0.2006;561;0;596;0;0
новый;0.3159;0;1;652;0;0
новый;0.6206;503;0;420;0;0
б/у;0.3205;721;0;663;0;0
новый;0.15;643;0;0;1;0
новый;0.5773;0;1;0;1;0
новый;0.3288;0;1;0;1;0
новый;0.4107;697;0;659;0;0
новый;0.1;702;0;685;0;0
новый;0.3155;620;0;700;0;0
б/у;0;639;0;580;0;0
новый;0.4171;666;0;649;0;0
новый;0.4406;776;0;0;1;0
новый;0.15;736;0;532;0;0
новый;0.15;565;0;497;0;0
новый;0.2351;0;1;626;0;0
новый;0.7525;545;0;0;1;0
б/у;0.4815;788;0;468;0;0
новый;0.4026;509;0;537;0;1
новый;0;638;0;566;0;0
новый;0.3672;688;0;554;0;0
б/у;0.2;579;0;595;0;0
б/у;0;566;0;328;0;1
новый;0.1647;553;0;520;0;0
новый;0.438;627;0;374;0;0
новый;0.4887;730;0;572;0;0
новый;0.1485;607;0;403;0;0
новый;0.6887;0;1;693;0;0
новый;0.1559;665;0;542;0;0
новый;0.1438;734;0;724;0;0
новый;0.1003;770;0;604;0;0
новый;0.125;0;1;0;1;0
новый;0.151;0;1;654;0;0
новый;0.4464;692;0;0;1;0
новый;0.3215;651;0;693;0;0
новый;0.1465;0;1;0;1;0
новый;0.321;0;1;0;1;0
новый;0.152;594;0;419;0;1
новый;0.1724;680;0;652;0;0
новый;0.1493;530;0;490;0;0
новый;0.5667;633;0;519;0;0
б/у;0.15;738;0;517;0;0
новый;0.1007;590;0;583;0;0
новый;0.1;722;0;0;1;1
новый;0;0;1;660;0;0
новый;0.165;0;1;0;1;0
новый;0.2105;0;1;0;1;0
б/у;0.6845;706;0;678;0;0
б/у;0.2121;616;0;400;0;1
новый;0.5316;744;0;617;0;0
новый;0.312;0;1;0;1;0
новый;0.6986;747;0;563;0;0
новый;0.1021;522;0;562;0;0
б/у;0.4;719;0;531;0;0
новый;0.2128;667;0;440;0;0
новый;0;775;0;0;1;0
новый;0.15;607;0;513;0;0
новый;0.2006;642;0;582;0;0
новый;0.1536;631;0;495;0;0
новый;0.1002;650;0;316;0;0
новый;0.3;0;1;0;1;0
новый;0;727;0;692;0;0
б/у;0.2105;483;0;357;0;1
новый;0.5275;728;0;650;0;0
новый;0.3514;0;1;470;0;0
новый;0.2202;0;1;692;0;0
новый;0.431;643;0;499;0;1
новый;0.7793;0;1;0;1;0
новый;0.4558;607;0;402;0;0
новый;0.1511;703;0;630;0;0
новый;0.1026;634;0;547;0;0
новый;0.1003;0;1;545;0;0
новый;0.2404;584;0;388;0;0
б/у;0.2203;593;0;411;0;0
новый;0.1;671;0;479;0;0
б/у;0.3;727;0;710;0;0
новый;0.1002;746;0;654;0;0
б/у;0.1389;638;0;468;0;1
новый;0.5043;694;0;590;0;0
новый;0.4498;495;0;0;1;0
новый;0.3956;738;0;680;0;0
новый;0.5174;619;0;540;0;0
новый;0.1;0;1;567;0;0
новый;0.5722;613;0;542;0;0
новый;0.1638;771;0;708;0;0
новый;0.1721;577;0;445;0;0
новый;0.1094;0;1;717;0;0
б/у;0.3133;570;0;434;0;0
б/у;0.1;579;0;646;0;0
б/у;0.1505;712;0;579;0;0
новый;0.1512;747;0;722;0;0
б/у;0.5893;688;0;539;0;0
б/у;0.0752;573;0;427;0;1
б/у;0.3191;684;0;549;0;0
новый;0.1702;774;0;736;0;0
б/у;0.3831;616;0;482;0;1
б/у;0.2903;718;0;646;0;0
новый;0.3;666;0;661;0;0
новый;0.4321;750;0;765;0;0
новый;0.2679;522;0;606;0;0
новый;0.4125;620;0;481;0;0
новый;0.2339;694;0;706;0;0
новый;0.2278;0;1;542;0;0
б/у;0.2558;675;0;552;0;0
новый;0.1689;727;0;645;0;0
б/у;0.5484;0;1;513;0;0
б/у;0;641;0;451;0;0
новый;0.4;772;0;0;1;0
б/у;0.2335;716;0;0;1;0
новый;0.1008;636;0;616;0;0
б/у;0.4688;0;1;612;0;0
новый;0.2082;592;0;467;0;0
новый;0.1502;600;0;578;0;0
б/у;0.3846;666;0;652;0;0
б/у;0.2593;0;1;440;0;1
новый;0.3516;0;1;655;0;0
б/у;0.5013;595;0;454;0;0
б/у;0.4425;628;0;520;0;0
новый;0.6571;706;0;535;0;0
новый;0.2478;580;0;608;0;0
новый;0.104;656;0;582;0;0
новый;0.3949;611;0;565;0;0
б/у;0.3333;644;0;433;0;0
б/у;0.3808;622;0;480;0;0
новый;0.1254;633;0;479;0;0
новый;0.3135;605;0;397;0;0
б/у;0.15;739;0;581;0;0
б/у;0.4255;605;0;535;0;0
новый;0.1024;0;1;0;1;0
новый;0.2522;633;0;625;0;0
б/у;0.0513;558;0;374;0;0
новый;0.2208;749;0;616;0;0
новый;0.7433;712;0;612;0;0
новый;0.5523;725;0;618;0;0
б/у;0.1918;553;0;0;1;0
новый;0.2472;721;0;689;0;0
новый;0.2062;595;0;341;0;0
б/у;0.409;696;0;0;1;0
новый;0.1075;760;0;625;0;0
новый;0.2224;671;0;0;1;0
новый;0.2299;568;0;389;0;0
новый;0.3096;760;0;572;0;0
новый;0.4158;722;0;725;0;0
новый;0.2131;0;1;0;1;0
б/у;0.2001;723;0;0;1;0
б/у;0.2967;683;0;0;1;0
б/у;0.2198;699;0;569;0;0
новый;0.4993;748;0;528;0;0
новый;0.151;664;0;441;0;0
б/у;0.3846;752;0;443;0;0
новый;0.6207;769;0;655;0;0
б/у;0.3333;593;0;581;0;0
б/у;0.151;0;1;445;0;0
новый;0.1553;0;1;614;0;0
новый;0.151;625;0;528;0;0
новый;0.1055;737;0;442;0;0
новый;0.1516;618;0;525;0;0
новый;0.219;608;0;416;0;0
б/у;0.5044;618;0;542;0;0
б/у;0.2997;701;0;593;0;0
новый;0.1;633;0;435;0;0
новый;0.7591;0;1;0;1;0
новый;0.2763;703;0;556;0;0
новый;0.1527;522;0;562;0;1
б/у;0.15;0;1;503;0;0
новый;0.266;592;0;617;0;0
б/у;0;0;1;0;1;0
новый;0.2857;736;0;664;0;0
новый;0.1083;708;0;552;0;0
новый;0.2;621;0;594;0;0
новый;0.1456;654;0;0;1;0
новый;0.2857;747;0;605;0;0
новый;0.3158;0;1;0;1;0
новый;0.2422;0;1;619;0;0
новый;0.4466;626;0;0;1;0
б/у;0.1702;494;0;340;0;1
новый;0.3006;746;0;662;0;0
новый;0.5847;760;0;680;0;0
новый;0.4008;670;0;525;0;0
новый;0.1229;670;0;645;0;0
новый;0.4036;600;0;474;0;0
новый;0.4003;609;0;491;0;0
новый;0.5252;0;1;587;0;0
новый;0.4981;723;0;600;0;0
б/у;0.15;542;0;421;0;0
новый;0.2127;547;0;497;0;0
новый;0.15;734;0;548;0;0
новый;0.3014;607;0;527;0;0
новый;0.1523;591;0;677;0;0
б/у;0.5336;767;0;713;0;0
б/у;0.1514;769;0;676;0;0
новый;0.1003;690;0;659;0;0
новый;0.1299;711;0;573;0;0
новый;0.1035;0;1;658;0;0
новый;0.1;700;0;422;0;0
новый;0.1447;388;0;0;1;0
новый;0.3018;712;0;609;0;0
новый;0.1539;708;0;0;1;0
б/у;0.2;0;1;445;0;0
новый;0.2343;679;0;453;0;0
новый;0.1;682;0;480;0;0
новый;0.1;629;0;664;0;0
новый;0.6818;438;0;562;0;0
новый;0.1027;603;0;445;0;0
новый;0;612;0;526;0;0
новый;0.4;727;0;628;0;0
б/у;0.3009;685;0;512;0;0
новый;0.1736;576;0;522;0;0
новый;0.5043;768;0;0;1;0
новый;0.3159;750;0;604;0;0
новый;0.411;0;1;510;0;0
б/у;0.375;574;0;492;0;0
б/у;0.2;0;1;551;0;0
новый;0.1009;666;0;636;0;0
новый;0.1189;715;0;495;0;0
новый;0.1061;715;0;685;0;0
новый;0.2;636;0;470;0;0
б/у;0.1514;701;0;668;0;0
новый;0.15;0;1;657;0;0
б/у;0.1768;713;0;576;0;0
б/у;0.2063;0;1;0;1;0
новый;0.3041;646;0;633;0;0
новый;0.1018;604;0;529;0;0
новый;0.7531;588;0;623;0;0
новый;0.3009;0;1;549;0;0
б/у;0.3056;0;1;746;0;0
новый;0.15;652;0;525;0;0
новый;0.3186;621;0;531;0;0
новый;0.1001;0;1;636;0;0
новый;0.3018;0;1;542;0;0
новый;0.1012;600;0;559;0;0
б/у;0.3774;676;0;345;0;0
б/у;0.2128;634;0;630;0;0
новый;0.2151;665;0;598;0;0
новый;0.107;639;0;586;0;0
новый;0.6522;0;1;0;1;0
новый;0.4819;680;0;613;0;0
новый;0.2593;634;0;729;0;0
новый;0.4;702;0;523;0;0
новый;0.2456;556;0;0;1;0
б/у;0.2105;674;0;550;0;0
новый;0.3417;0;1;746;0;0
новый;0.2749;735;0;0;1;0
новый;0.4376;759;0;611;0;0
новый;0.2748;718;0;660;0;0
новый;0.3411;0;1;0;1;0
новый;0.2543;654;0;532;0;0
б/у;0.1803;783;0;493;0;0
б/у;0.3205;642;0;581;0;0
новый;0.2;643;0;524;0;0
б/у;0.2874;691;0;452;0;1
б/у;0.2647;594;0;433;0;0
б/у;0.1508;0;1;498;0;0
новый;0.1026;532;0;330;0;0
новый;0.1128;691;0;414;0;0
новый;0;0;1;0;1;1
б/у;0.2632;0;1;586;0;0
новый;0.1;713;0;628;0;0
новый;0.3;653;0;545;0;0
б/у;0.1496;488;0;0;1;1
новый;0.2015;644;0;481;0;0
б/у;0;734;0;624;0;0
б/у;0.3226;703;0;0;1;0
новый;0.1018;602;0;490;0;1
б/у;0.2174;652;0;0;1;0
б/у;0.3611;454;0;331;0;0
новый;0.1093;615;0;487;0;1
новый;0.339;0;1;0;1;0
новый;0.1218;671;0;614;0;0
новый;0.6324;684;0;668;0;0
новый;0.3022;726;0;447;0;0
б/у;0.375;559;0;442;0;0
новый;0.8415;686;0;560;0;0
б/у;0.4515;640;0;592;0;0
новый;0.197;585;0;482;0;0
б/у;0.1596;0;1;0;1;0
новый;0.1036;522;0;495;0;1
новый;0.1551;615;0;0;1;0
новый;0.36;772;0;631;0;0
новый;0.2831;569;0;416;0;0
новый;0.3;0;1;0;1;0
новый;0.1992;686;0;610;0;0
новый;0.4323;0;1;0;1;0
б/у;0.2;684;0;487;0;0
новый;0.3333;765;0;0;1;0
новый;0.1;684;0;567;0;0
новый;0;729;0;555;0;0
новый;0.1113;646;0;403;0;1
новый;0.2206;0;1;780;0;0
б/у;0.1562;465;0;483;0;0
б/у;0.3704;0;1;556;0;0
новый;0.2029;640;0;580;0;0
б/у;0.1515;608;0;659;0;1
новый;0.5004;635;0;620;0;0
новый;0.4319;706;0;616;0;0
б/у;0.2766;529;0;486;0;0
новый;0.1189;678;0;585;0;0
новый;0.3202;529;0;318;0;1
новый;0.1;532;0;0;1;0
новый;0.4014;717;0;704;0;0
новый;0.2642;0;1;0;1;0
б/у;0.3636;695;0;765;0;0
новый;0.1002;0;1;658;0;0
б/у;0.2257;598;0;514;0;1
б/у;0.5402;737;0;666;0;0
б/у;0.1;619;0;387;0;1
б/у;0.5;741;0;590;0;0
б/у;0.2727;674;0;720;0;0
новый;0.3491;0;1;0;1;0
новый;0.3;667;0;569;0;0
б/у;0.1667;713;0;0;1;0
новый;0.1028;721;0;644;0;0
новый;0.4052;723;0;653;0;0
новый;0.1282;779;0;0;1;0
б/у;0.3;673;0;490;0;0
б/у;0.3704;726;0;606;0;0
б/у;0.15;0;1;653;0;0
б/у;0;550;0;0;1;0
б/у;0.31;663;0;488;0;1
новый;0.1504;665;0;0;1;1
б/у;0.3;0;1;0;1;1
новый;0.1001;0;1;0;1;0
б/у;0.1053;635;0;448;0;0
б/у;0.2222;757;0;675;0;0
б/у;0.1639;0;1;0;1;0
б/у;0.1509;636;0;413;0;0
новый;0.3291;537;0;516;0;0
б/у;0.2759;689;0;669;0;0
новый;0.3348;0;1;704;0;0
новый;0.1005;734;0;658;0;0
новый;0.3125;666;0;635;0;0
новый;0.3125;588;0;476;0;0
новый;0.5568;0;1;0;1;0
б/у;0.3667;680;0;532;0;0
б/у;0.1011;588;0;415;0;0
новый;0.4673;0;1;0;1;0
новый;0.2772;587;0;0;1;0
новый;0.1507;536;0;347;0;0
новый;0.4993;719;0;556;0;0
новый;0.1566;590;0;0;1;0
б/у;0.2532;514;0;433;0;0
б/у;0.2;741;0;613;0;0
б/у;0.3096;689;0;621;0;0
новый;0.2901;751;0;763;0;0
новый;0.1011;671;0;668;0;0
б/у;0.15;678;0;0;1;0
б/у;0.2;596;0;520;0;0
новый;0.15;675;0;570;0;0
б/у;0.1976;684;0;0;1;0
новый;0.6341;0;1;0;1;0
б/у;0.2;717;0;637;0;0
новый;0.545;0;1;734;0;0
новый;0.1015;722;0;609;0;0
новый;0.5912;594;0;340;0;0
б/у;0.6;751;0;684;0;0
б/у;0.1555;721;0;695;0;0
новый;0.2335;632;0;530;0;0
новый;0.2347;0;1;700;0;0
новый;0.1;675;0;747;0;0
б/у;0.2842;0;1;0;1;1
новый;0.3;556;0;528;0;0
б/у;0.6077;656;0;0;1;0
новый;0.5021;634;0;600;0;0
новый;0.2219;756;0;0;1;0
новый;0.2;457;0;0;1;0
б/у;0;684;0;585;0;0
новый;0.3847;0;1;0;1;0
б/у;0.3655;599;0;523;0;0
новый;0.1579;524;0;292;0;0
новый;0.1541;633;0;584;0;0
б/у;0.1551;513;0;0;1;0
новый;0.6644;0;1;0;1;0
б/у;0.202;0;1;0;1;0
новый;0.217;611;0;546;0;0
новый;0.3005;0;1;0;1;0
б/у;0.4166;754;0;616;0;0
б/у;0.2115;0;1;316;0;1
новый;0.1013;716;0;0;1;0
б/у;0.1905;552;0;368;0;0
б/у;0.163;728;0;0;1;0
новый;0.1;663;0;426;0;0
новый;0.2112;626;0;497;0;0
б/у;0.15;579;0;529;0;0
б/у;0.4;0;1;0;1;0
новый;0.1033;677;0;572;0;0
новый;0.5174;722;0;671;0;0
новый;0.1025;727;0;803;0;0
новый;0.4616;0;1;616;0;0
б/у;0.3333;637;0;558;0;0
новый;0.201;534;0;528;0;0
новый;0.3472;625;0;518;0;0
б/у;0.1538;649;0;621;0;1
б/у;0.2527;0;1;426;0;0
б/у;0.3837;728;0;0;1;0
новый;0.2778;781;0;792;0;0
б/у;0.12;630;0;671;0;0
новый;0.1004;588;0;583;0;0
новый;0.3806;0;1;0;1;0
новый;0.6711;739;0;630;0;0
новый;0.1011;483;0;559;0;0
б/у;0.2;0;1;0;1;0
новый;0.2995;614;0;539;0;0
новый;0.406;686;0;539;0;0
новый;0.2222;0;1;0;1;0
новый;0.3521;575;0;434;0;0
новый;0.1964;695;0;662;0;0
новый;0.1776;0;1;525;0;0
новый;0.5053;734;0;630;0;0
б/у;0.2303;663;0;541;0;0
новый;0.2001;603;0;380;0;1
новый;0.7373;756;0;580;0;0
новый;0.8193;663;0;0;1;0
новый;0.404;700;0;524;0;0
новый;0.3016;609;0;468;0;0
новый;0;690;0;543;0;0
б/у;0.3614;544;0;472;0;0
новый;0.2264;667;0;0;1;0
новый;0.6509;0;1;0;1;0
новый;0.1818;549;0;564;0;0
новый;0.5958;465;0;0;1;0
б/у;0.1639;632;0;466;0;0
б/у;0.4539;750;0;694;0;0
новый;0.5485;721;0;674;0;0
б/у;0.6333;667;0;660;0;0
новый;0;0;1;644;0;0
б/у;0.2857;575;0;510;0;1
новый;0.1508;0;1;634;0;0
б/у;0.1778;582;0;0;1;0
новый;0.1;723;0;626;0;0
б/у;0.3429;608;0;0;1;0
б/у;0;0;1;475;0;0
новый;0.1033;773;0;680;0;0
новый;0.1842;712;0;691;0;0
б/у;0.1333;0;1;683;0;0
б/у;0.2;717;0;581;0;0
новый;0.4156;760;0;697;0;0
б/у;0.2;715;0;629;0;0
б/у;0.2;697;0;541;0;0
б/у;0.3922;0;1;0;1;0
б/у;0.3077;599;0;479;0;0
б/у;0.2857;627;0;0;1;0
б/у;0.1506;598;0;602;0;0
новый;0.1559;600;0;513;0;0
б/у;0.6769;647;0;584;0;0
б/у;0.2903;0;1;713;0;0
новый;0.4499;774;0;0;1;0
новый;0.3132;0;1;0;1;0
новый;0.603;0;1;0;1;0
новый;0.1;601;0;537;0;0
новый;0.6936;700;0;696;0;0
новый;0.4662;705;0;730;0;0
новый;0.1513;692;0;594;0;0
б/у;0.5208;0;1;696;0;0
новый;0.6845;712;0;566;0;0
новый;0.3593;795;0;731;0;0
новый;0.4;544;0;0;1;0
новый;0.4314;0;1;690;0;0
новый;0.2376;655;0;611;0;0
новый;0.3;603;0;374;0;0
новый;0.2008;626;0;562;0;0
новый;0.106;708;0;658;0;0
новый;0.4;617;0;678;0;0
новый;0.1578;0;1;0;1;0
новый;0.4711;736;0;0;1;0
новый;0.4633;773;0;591;0;0
новый;0.3;0;1;0;1;0
новый;0.3005;704;0;684;0;1
новый;0.5637;610;0;673;0;0
б/у;0.15;0;1;0;1;0
б/у;0.3784;684;0;0;1;0
новый;0.2;0;1;698;0;0
новый;0.361;658;0;537;0;0
новый;0.3065;0;1;0;1;0
новый;0.2717;546;0;489;0;1
новый;0.3007;0;1;0;1;0
новый;0.511;749;0;0;1;0
новый;0.365;742;0;672;0;0
новый;0.1503;698;0;0;1;0
новый;0.4318;714;0;640;0;0
новый;0.4394;755;0;674;0;0
новый;0.7102;675;0;634;0;0
новый;0.1649;444;0;283;0;0
новый;0.6494;763;0;615;0;0
новый;0.3568;619;0;581;0;0
новый;0.1555;756;0;0;1;0
новый;0.4794;672;0;0;1;0
новый;0.1744;679;0;0;1;0
новый;0.2528;531;0;609;0;1
б/у;0.15;603;0;573;0;0
новый;0.2553;751;0;0;1;1
новый;0.4796;778;0;707;0;0
б/у;0.3889;708;0;0;1;0
новый;0.5035;0;1;0;1;0
новый;0.1057;658;0;635;0;0
новый;0.1411;479;0;385;0;0
новый;0.3995;766;0;608;0;0
б/у;0.429;743;0;544;0;0
новый;0.2454;618;0;588;0;0
новый;0.4425;669;0;680;0;0
б/у;0.15;675;0;538;0;0
новый;0.1698;677;0;566;0;0
новый;0.2137;563;0;544;0;1
б/у;0.7241;767;0;423;0;1
б/у;0.5889;610;0;686;0;0
новый;0.2857;555;0;0;1;0
новый;0.1477;752;0;606;0;0
новый;0.2054;703;0;418;0;1
новый;0.2;685;0;497;0;0
новый;0.2375;666;0;505;0;0
б/у;0.4762;683;0;579;0;1
новый;0.1543;580;0;0;1;0
новый;0.1015;631;0;529;0;0
новый;0.3002;0;1;533;0;0
новый;0.1869;610;0;629;0;0
новый;0.1504;670;0;544;0;0
б/у;0;617;0;443;0;0
б/у;0.1887;533;0;445;0;0
новый;0.6698;539;0;0;1;0
б/у;0.1923;509;0;568;0;0
новый;0.3174;618;0;0;1;0
новый;0.202;625;0;0;1;0
новый;0.1502;579;0;560;0;0
новый;0.1534;721;0;0;1;0
б/у;0.3;0;1;404;0;0
